"","location","date","cum_covid_deaths_per_100k","cum_excess_deaths_per_100k","iso_code","population","continent"
"88","Serbia",2021-11-30,170.1364,684.703168005691,"SRB",6871547,"Europe"
"89","Seychelles",2021-06-30,56.6171,-103.932868264078,"SYC",98910,"Africa"
"90","Singapore",2021-09-30,1.742,13.9284142584715,"SGP",5453600,"Asia"
"91","Slovakia",2021-11-28,261.3938,388.706556600716,"SVK",5460726,"Europe"
"92","Slovenia",2021-11-21,243.563,216.810994057409,"SVN",2078723,"Europe"
"93","South Africa",2021-12-19,150.4747,393.670956575128,"ZAF",60041996,"Africa"
"94","South Korea",2021-10-31,5.5706,9.77172209342432,"KOR",51305184,"Asia"
"95","Spain",2021-11-21,187.8481,211.897642306075,"ESP",46745211,"Europe"
"96","Sweden",2021-12-12,149.5154,90.0044969768682,"SWE",10160159,"Europe"
"97","Switzerland",2021-12-19,136.6876,148.925580122022,"CHE",8715494,"Europe"
"98","Taiwan",2021-11-30,3.5548,-7.75602338930257,"TWN",23855008,"Asia"
"99","Thailand",2021-12-31,31.0189,98.589232175669,"THA",69950844,"Asia"
"100","Tunisia",2021-04-30,89.8309,48.8950686357404,"TUN",11935764,"Africa"
"101","Ukraine",2021-10-31,165.8115,281.619392372417,"UKR",43466822,"Europe"
"102","United Kingdom",2021-12-12,214.8544,196.989715764839,"GBR",68207114,"Europe"
"103","United States",2021-11-28,233.726,273.025666599885,"USA",332915074,"North America"
"104","Uruguay",2021-10-31,174.397,82.8543489638329,"URY",3485152,"South America"
"105","Uzbekistan",2021-09-30,3.651,111.045087682567,"UZB",33935765,"Asia"
